Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
2,8,Distress/PTSD symptoms at 1-6 months,,SUBGROUP_AND_OVERALL,Rahman 2009,2009,0.0,0.0,7.37,4.36,0,98,7.51,4.9,0,88,0.0,0.0,22.709301,-0.030158,-0.318015,0.257698,Self-Reporting Questionnaire (SRQ),Low risk,<p>1a.1: Y; 1a.2: PY. Quote: &quot;assignment to intervention (the 'intention-to-treat' effect) NA   Journal article(s)&quot;</p><p>1.3: NI. Note: No useful information is reported to evaluate this element</p><p>1b.1: N: particpants were recruited after randomization;</p><p>1b.2: PN- there is no evidence to suggest that selection of individual participants was affected by knoweldge of the intervention assigned to the cluster; </p><p>1b.3:PN - baseline characteristics were comparable across intervention and control group. Overall: Low</p>,Low risk,"<p>2.1a: NI; 2.1b: PY; 2.2: PY. Note: No information provided on whether participants knew that they were in a trial, due to the nature of the intervention they (as those delivering the intervention) were most likely aware of intervention allocation.</p><p>2.3: PN.  Note: No evidence to suggest deviations from the intended intervention that arose because of the trial context </p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. Note:  Most randomized participants were analyzed (93%)</p><p>2.7: NA.</p>",Some concerns,"<p>3.1a NI. Note: no information on whether data was avaiable for all clusters; </p><p>3.1b: PY. Note: data were avaiable for almost all randomized participants  (93% - 307 out of 334)</p><p>3.2: PN. Note: No evidence that the result was not biased by missing data</p><p>3.3: PY; 3.4: PN. Quote: &quot;Table 2 compares the characteristics of patients followed up<br/>with those that were not.When a random effects logistic regression<br/>model was fitted to follow-up rate, there was evidence that<br/>women with higher IDQ scores at baseline were more likely to<br/>be followed (P = 0.017).&quot;<br/> </p>",Some concerns,"<p>4.1: PN. Note: The outcome measure is widely established and adapted for use in Nepal.</p><p>4.2: PN. Note: No evidence to suggest that.</p><p>4.3a: NI; 4.3b: PY. Note: No information provided on whether participants knew that they were in a trial, participants were most likely aware of the group allocation due to the nature of the intervention </p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods and results were reported.</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods and results were reported.</p>",Some concerns,"<p>The study is judged to raise some concerns in two domains (3 and 4), but not to be at high risk of bias for any domain.</p>"
2,8,Distress/PTSD symptoms at 1-6 months,,SUBGROUP_AND_OVERALL,Sanfilippo 2020,2020,0.0,0.0,2.7,3.03,0,13,5.28,3.12,0,20,0.0,0.0,16.898097,-0.815782,-1.544861,-0.086703,Self-Reporting Questionnaire (SRQ),High risk,"<p>1a.1: Y; 1a.2: PY. Quote: &quot;The study’s statistical advisor generated a computer randomisation list with a block size of 2, which was applied to the presupplied clinic list by the trial team”.</p><p>1a.3: NI. No useful information is reported to evaluate this element. </p><p>1b.1: PN. The trial has a stepped-wedged design, each clinic (cluster) first recruited participants for a control cohort, then for a second intervention cohort. Nevertheless, the assignment to either group preceded the recruitment of participants.</p><p>1b.2: PY. Given the nature of the study design it is possible that the researchers (unblinded) were aware of allocation before recruitment.</p><p>1b.3: PY. The two groups were comparable at baseline for demographic characteristics, but participants’ baseline antenatal EPDS and SRQ-20 scores were significantly lower in the intervention group compared with the control group.</p>",Some concerns,"<p>2.1 a: NI; 2.1b: PY; 2.2: PY. No information provided on whether participants knew that they were in a trial, due to the nature of the intervention they (as those delivering the intervention) were most likely aware of intervention allocation.</p><p>2.3: PY. Some deviations in the timeline of delivery occurred to overcome possible issues of adherence during Ramadan.</p><p> 2.4: PN. No evidence to suggest deviations from the intended intervention would have influenced the outcomes</p><p>2.5: NA. 2.6: Y. Data were analyzed in an intention to treat basis.. </p><p>2.7: NA.</p>",Some concerns,"<p>3.1a: PY. No evidence to suggest cluster loss</p><p>3.1b: PN. Quote: &quot;Attrition was 20% between baseline and post- intervention assessment, and 33% across all three assessment time points&quot; </p><p>3.2: PN. No information to suggest that results were not biased by missing outcome data. </p><p>3.3: NI;3.4: PN. Quote: &quot;There was no difference in attrition between the groups. &quot;</p>",Some concerns,"<p>4.1: N. The outcome measure is widely established and validated for use across different contexts, including that of application.</p><p>4.2: PN. No evidence to suggest that measurement or ascertainment of the outcome differed between intervention groups.</p><p>4.3a: NI; 4.3b: PY. No information provided on whether participants knew that they were in a trial, participants (outcome assessors) were most likely aware of the group allocation due to the nature of the intervention.</p><p>4.4: PY; 4.5: PN. Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PY. No evidence to suggest otherwise, methods and results do not show discrepancies.</p><p>5.2: PN. No evidence to suggest outcomes selection. All outcomes mentioned in the methods and results were reported.</p><p>5.3: PN. No evidence to suggest analyses selection. All outcomes mentioned in the methods and results were reported<b>.</b></p>",High risk,<p>The study is judged to be at high risk of bias<b> </b>in one domain (1).</p>
2,8,Distress/PTSD symptoms at 1-6 months,,SUBGROUP_AND_OVERALL,Yang 2022,2022,0.0,0.0,1.02,1.74,0,65,3.34,4.48,0,61,0.0,0.0,21.925622,-0.686763,-1.046618,-0.326907,Degree of Distress ,Low risk,"<p>1.1: PY; 1.2: PY. Quote: &quot; The research leader generated the random allocation sequence and assigned participants to interventions, physicians and nurses enrolled participants. Random allocation sequence was generated by random numbers tables, all patients were randomly selected by the researchers and assigned to each group using random number tables.&quot;</p><p>1.3: PN. Baseline characteristics were overall comparable across groups as demonstrated by Table 1.</p>",Low risk,"<p>2.1: PY; 2.2: PY. Note: Due to the nature of the intervention, participants and personnel were most likely aware of their assigned intervention, </p><p>2.3: PN. Note: No evidence to suggest issues in recruitment and engagement, nor failures to implement intervention allowed by the protocol. </p><p>2.4: NA</p><p>2.5: NA</p><p>2.6: PY. Note: No explicit mention of the analysis used to estimate the effect of assignment to intervention. Data was analyzed for almost all randomized participants (84% response rate). </p><p>2.7: PN. Note. No evidence to suggest analysis in the wrong group or exclusion of participants that could have had a substantial impact on the results. Data was analyzed for 84% of randomized participants at the 6 months timepoint.</p>",Low risk,<p>3.1: PY. Note: Data was availalble for almost all randomized participants (84% response rate). </p><p>3.2: NA</p><p>3.3: NA</p><p>3.4: NA</p>,Some concerns,"<p>4.1: PN. Note: The selected outcome method is widely validated and established and demonstrated good psychometric properties in the study. </p><p>4.2: PN: Note: No evidence to suggest differences in measurement between intervention and control.</p><p>4.3: PY. Note: Outcome assessors (participants) were most likely aware of intervention allocation.</p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. </p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods were reported. </p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
2,9,Distress/PTSD symptoms at 7-24 months,,SUBGROUP_AND_OVERALL,Cerquera Córdoba 2021,2021,0.0,0.0,42.6,18.6,0,16,33.8,14.1,0,11,0.0,0.0,100.0,8.8,-3.548728,21.148728,Zarit Burden Interview (ZBI),Low risk,<p>1.1: Y; 1.2: PY.  Randomization was conducted by a person that was not involved in the other parts of the study using a software</p><p>1.3: PN. Baseline characteristics were overall comparable across groups as demonstrated by Table 1.</p>,Low risk,<p>2.1: PY; 2.2: PY.  Due to the nature of the intervention participants and personnel were moslt likely aware of their assigned intervention.</p><p>2.3: PN. No evidence to suggest issues in recruitment and engagement nor failures to implement intervention allowed by the protocol</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. No explicit mention of the analysis used to estimate the effect of assignment to intervention. Data was analyzed for almost all randomized participants (80%). </p><p>2.7: NA.</p>,Low risk,<p>3.1: PY.  Data was availalble for almost all randomized participants (80%).</p><p>3.2: NA. </p><p>3.3: NA.</p><p>3.4: NA.</p>,Some concerns,"<p>4.1: PN. The selected outcome method is widely validated in the context of application.</p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control. </p><p>4.3: PY. Outcome assessors (participants) were most likely aware of intervention allocation. </p><p>4.4: PY. Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did</p><p>4.5: PN.</p>",Low risk,"<p>5.1: PY.  No evidence to suggest otherwise, methods and results do not show discrepancies.. </p><p>5.2: PN. No evidence to suggest outcome selection.</p><p>5.3: PN. No evidence to suggest analyses selection. All analyses mentioned in the methods were reported.</p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
2,10,Social outcomes at 0-1 months,,SUBGROUP_AND_OVERALL,Cerquera Córdoba 2021,2021,0.0,0.0,-63.3,19.0,0,17,-49.3,14.5,0,14,0.0,0.0,15.934327,-14.0,-25.801059,-2.198941,Social Support Medical Outcomes Study Questionnaire,Low risk,<p>1.1: Y; 1.2: PY.  Randomization was conducted by a person that was not involved in the other parts of the study using a software</p><p>1.3: PN. Baseline characteristics were overall comparable across groups as demonstrated by Table 1.</p>,Low risk,<p>2.1: PY; 2.2: PY.  Due to the nature of the intervention participants and personnel were moslt likely aware of their assigned intervention.</p><p>2.3: PN. No evidence to suggest issues in recruitment and engagement nor failures to implement intervention allowed by the protocol</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. No explicit mention of the analysis used to estimate the effect of assignment to intervention. Data was analyzed for almost all randomized participants (80%). </p><p>2.7: NA.</p>,Low risk,<p>3.1: PY.  Data was availalble for almost all randomized participants (80%).</p><p>3.2: NA. </p><p>3.3: NA.</p><p>3.4: NA.</p>,Some concerns,"<p>4.1: PN. The selected outcome method is widely validated in the context of application.</p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control. </p><p>4.3: PY. Outcome assessors (participants) were most likely aware of intervention allocation. </p><p>4.4: PY. Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did</p><p>4.5: PN.</p>",Low risk,"<p>5.1: PY.  No evidence to suggest otherwise, methods and results do not show discrepancies.. </p><p>5.2: PN. No evidence to suggest outcome selection.</p><p>5.3: PN. No evidence to suggest analyses selection. All analyses mentioned in the methods were reported.</p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
2,10,Social outcomes at 0-1 months,,SUBGROUP_AND_OVERALL,Rahimi 2021a,2021,0.0,0.0,-12.9,1.02,0,12,-7.2,1.5,0,12,0.0,0.0,46.420983,-5.7,-6.726318,-4.673682,Positive Relationship with Others Subscale of the Warwick-Edinburgh Mental Wellbeing Scale (WEMWBS) ,Some concerns,"<p>1a.1: PY; 1a.2: PY. Quote: &quot;Then, 2 hospitals were randomly assigned to intervention and control groups from 4 educational hospitals using the flip the coin method&quot;;&quot; Finally, for the selection of patients in the intervention and the control group, from the list of patients in each of these two hospitals according to the eligible criteria (58 patients in hospital A and 61 patients in hospital B), 30 male and female patients were enrolled in the study by block randomization method&quot;; &quot;In order to prevent possible bias, the statistician and peer group that participated in the data analysis and implementation of intervention and data collection, respectively, were blinded&quot;.</p><p>1a.3: NI. No useful information is reported to evaluate this element. </p><p>1b.1: PN. It appears the randomization was conducted prior to the recruitment of participants:</p><p>1b.2: PN. It is unlikely that the selection of inidividual participants was affected by knowledge of the intervention assigned to the cluster.</p><p>1b.3: PN. There is no evidence to indicate imbalances in baseline values to indicate differentail identification or recruitment of individual participants.</p>",Low risk,"<p>2.1 a: NI; 2.1b: PY; 2.2: PY. No information provided on whether participants knew that they were in a trial, due to the nature of the intervention they (as those delivering the intervention) were most likely aware of intervention allocation.</p><p>2.3: PN. No evidence to indicate deviations from protocol.</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. Data were analysed for all randomized participants. </p><p>2.7: NA.</p>",Low risk,<p>3.1a: PY. No evidence to suggest cluster loss.</p><p>3.1b: PY. There were no losses at follow-up.</p><p>3.2: NA. 3.3: NA. 3.4: NA.</p>,Some concerns,"<p>4.1: N. The outcome measure is widely established and validated for use across different contexts.</p><p>4.2: PN. No evidence to suggest that measurement or ascertainment of the outcome differed between intervention groups.</p><p>4.3a: NI; 4.3b: PY. No information provided on whether participants knew that they were in a trial, participants (outcome assessors) were most likely aware of the group allocation due to the nature of the intervention.</p><p>4.4: PY; 4.5: PN. Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PY. No evidence to suggest otherwise, methods and results do not show discrepancies.</p><p>5.2: PN. No evidence to suggest outcomes selection. All outcomes mentioned in the methods and results were reported.</p><p>5.3: PN. No evidence to suggest analyses selection. All outcomes mentioned in the methods and results were reported<b>.</b></p>",Some concerns,"<p>The study is judged to raise some concerns in two domains (1 and 4), but not to be at high risk of bias for any domain.</p>"
2,10,Social outcomes at 0-1 months,,SUBGROUP_AND_OVERALL,Vargas-Porras 2021,2021,0.0,0.0,-83.09,5.19,0,33,-70.82,11.26,0,33,0.0,0.0,37.64469,-12.27,-16.500206,-8.039794,Functional Social Support Subscale of the Perinatal Infant Care Social Support Scale (PICSS),Low risk,"<p>1.1: PY. 1.2: PY. Note: Title mentions RCT design. Quote: &quot;This is a parallel‐group, double‐blind, randomized, controlled trial&quot;; Quote: &quot;The software also generated an identification code that was allocated to the groups. Only one researcher had access to the randomization codes and was responsible for submitting the codes to the nurse who delivered the intervention. The nurse who delivered the intervention only had contact with participants in the intervention group with two arms.&quot;</p><p>1.3: PN. Quote: &quot;The groups were comparable except for socioeconomic status and educational level variables; therefore, the differences recorded for these two variables were assessed by a sensitivity analysis.&quot;</p>",Low risk,"<p>2.1: PY; 2.2: PY. Note: Due to the nature of the intervention, participants and the interventionists were most likely aware of the allocation. </p><p>2.3: PN. Note: No evidence to suggest issues to implement intervention. </p><p>2.4: NA</p><p>2.5: NA</p><p>2.6: Y. Note: Intention-to-treat analysis was performed. </p>",Low risk,<p>3.1: PY. Note: Drop-out: 5 of 71. </p><p>3.2: NA</p><p>3.3: NA</p><p>3.4: NA</p>,Some concerns,"<p>4.1: N. Note: This instrument was translated into Spanish, culturally adapted, and validated in Colombian first‐time mothers of term in- fants. Cronbach's α in the present study was 0.92.</p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control.</p><p>4.3: PY. Note: Outcome assessors (participants) were most likely aware of intervention allocation.</p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods and results were reported. </p><p>5.3: PN. Note: No evidence to suggest analyses selection. All outcomes mentioned in the methods and results were reported. </p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
2,11,Social outcomes at 1-6 months,,SUBGROUP_AND_OVERALL,Ozcan 2020,2020,0.0,0.0,-68.48,26.06,0,55,-26.06,22.16,0,55,0.0,0.0,49.67832,-1.741503,-2.182653,-1.300352,Social Relationship Subscale of the World Health Organization Quality-of-Life Scale (WHOQOL),Low risk,<p>1.1: PY. 1.2: PY. Quote: &quot;a 2-group randomized controlled trial with a prospective pretest-posttest experimental design was conducted to evaluate the model’s effectiveness. (...) A sealed envelope method was used in randomization; half of the women were randomly assigned to the intervention group (n1⁄458) and the other half to the control group (n1⁄459). &quot;</p><p>1.2: PN: Note: Baseline characteristics were overall comparable across groups.</p>,High risk,"<p>2.1: PY; 2.2: PY. Note: Due to the nature of the intervention, participants and personnel were aware of their assigned intervention. </p><p>2.3: PN. Note: No evidence to suggest issues in recruitment and engagement, nor failures to implement intervention allowed by the protocol. </p><p>2.4: NA</p><p>2.5: NA</p><p>2.6: PN. Quote: &quot;The exclusion criteria were as follows: (i) being lost to follow-up (…)&quot;</p><p>2.7: PY. Note: 7/110 (6% circa) of participants were excluded from the analysis because they were lost at follow-up.</p>",Low risk,<p>3.1: Y. Note: Data were available for almost all randomized participants (6% were lost at follow up and excluded from analyses). </p><p>3.2: NA</p><p>3.3: NA</p><p>3.4: NA</p>,Some concerns,"<p>4.1: PN. Note: The selected outcome method is widely validated and established and demonstrated good psychometric properties in the study. </p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control.</p><p>4.3: PY. Note: Outcome assessors (participants) were most likely aware of intervention allocation. Staff involved in data collection were not blinded to the allocation.</p><p>4.4: PY; 4.5: PN. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did.</p>",Low risk,"<p>5.1: PY. Note: No evidence to suggest otherwise, methods and results do not show discrepancies.</p><p>5.2: PN. Note: No evidence to suggest outcome selection.</p><p>5.3: PN. No evidence to suggest analyses selection. All analyses mentioned in the methods were reported.</p>",High risk,<p>The study is judged to be at high risk of bias<b> </b>in one domain (2).</p>
2,11,Social outcomes at 1-6 months,,SUBGROUP_AND_OVERALL,Yang 2022,2022,0.0,0.0,-55.31,19.28,0,65,-54.73,21.28,0,61,0.0,0.0,50.32168,-0.028437,-0.377846,0.320972,Evaluation of functional social support ,Low risk,"<p>1.1: PY; 1.2: PY. Quote: &quot; The research leader generated the random allocation sequence and assigned participants to interventions, physicians and nurses enrolled participants. Random allocation sequence was generated by random numbers tables, all patients were randomly selected by the researchers and assigned to each group using random number tables.&quot;</p><p>1.3: PN. Baseline characteristics were overall comparable across groups as demonstrated by Table 1.</p>",Low risk,<p>2.1: PY; 2.2: PY.  Due to the nature of the intervention participants and personnel were moslt likely aware of their assigned intervention.</p><p>2.3: PN. No evidence to suggest issues in recruitment and engagement nor failures to implement intervention allowed by the protocol</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. No explicit mention of the analysis used to estimate the effect of assignment to intervention. Data was analyzed for almost all randomized participants (84% response rate).</p><p>2.7: NA.</p>,Low risk,<p>3.1: PY.  Data was availalble for almost all randomized participants (84% response rate).</p><p>3.2: NA. </p><p>3.3: NA.</p><p>3.4: NA.</p>,Some concerns,"<p>4.1: PN. The selected outcome method is widely validated and established and demonstrated good psychometric properties in the study.</p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control. </p><p>4.3: PY. Outcome assessors (participants) were most likely aware of intervention allocation. </p><p>4.4: PY. Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did</p><p>4.5: PN.</p>",Low risk,"<p>5.1: PY.  No evidence to suggest otherwise, methods and results do not show discrepancies.. </p><p>5.2: PN. No evidence to suggest outcome selection.</p><p>5.3: PN. No evidence to suggest analyses selection. All analyses mentioned in the methods were reported.</p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
2,12,Social outcomes at 7-24 months,,SUBGROUP_AND_OVERALL,Cerquera Córdoba 2021,2021,0.0,0.0,-55.6,19.0,0,16,-39.9,14.5,0,11,0.0,0.0,100.0,-15.7,-28.352951,-3.047049,Social Support Medical Outcomes Study Questionnaire,Low risk,<p>1.1: Y; 1.2: PY.  Randomization was conducted by a person that was not involved in the other parts of the study using a software</p><p>1.3: PN. Baseline characteristics were overall comparable across groups as demonstrated by Table 1.</p>,Low risk,<p>2.1: PY; 2.2: PY.  Due to the nature of the intervention participants and personnel were moslt likely aware of their assigned intervention.</p><p>2.3: PN. No evidence to suggest issues in recruitment and engagement nor failures to implement intervention allowed by the protocol</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. No explicit mention of the analysis used to estimate the effect of assignment to intervention. Data was analyzed for almost all randomized participants (80%). </p><p>2.7: NA.</p>,Low risk,<p>3.1: PY.  Data was availalble for almost all randomized participants (80%).</p><p>3.2: NA. </p><p>3.3: NA.</p><p>3.4: NA.</p>,Some concerns,"<p>4.1: PN. The selected outcome method is widely validated in the context of application.</p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control. </p><p>4.3: PY. Outcome assessors (participants) were most likely aware of intervention allocation. </p><p>4.4: PY. Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did</p><p>4.5: PN.</p>",Low risk,"<p>5.1: PY.  No evidence to suggest otherwise, methods and results do not show discrepancies.. </p><p>5.2: PN. No evidence to suggest outcome selection.</p><p>5.3: PN. No evidence to suggest analyses selection. All analyses mentioned in the methods were reported.</p>",Some concerns,"<p>The study is judged to raise some concerns in one domain (4), but not to be at high risk of bias for any domain.</p>"
3,1,Diagnosis of mental disorders at 0-1 months,,SUBGROUP_AND_OVERALL,Acarturk 2022,2022,0.0,0.0,0.0,0.0,30,237,0.0,0.0,36,267,0.0,0.0,39.581252,0.938819,0.597517,1.475073,Mini International Neuropsychiatric Interview (MINI),Low risk,"<p>1.1: Y. Quote: &quot;Participants were randomly assigned either to the Self-Help Plus arm or to ECAU only, in a 1:1 ratio.&quot; 1.2: Y. Quote &quot;The randomization schedule was generated by Castor Electronic Data Capture (EDC). (..)  Research team members involved in<br/>recruitment were able to access the web-based software to randomize each newly enrolled participant, but were not able to access the randomization list, and were not aware of the block size.&quot;</p><p>1.3: N. Note: No significant differences at baseline. </p>",Low risk,<p>2.1: PY; 2.2: PY. Note: Due to the nature of the intervention participants and the interventionists were most likely aware of the allocation.</p><p>2.3: PN. Note: No evidence to suggest issues to implement intervention.</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: Y. Quote: &quot;We followed an intent-to-treat approach for analysis of primary and secondary outcomes&quot;</p><p>2.7: NA.</p>,Low risk,<p>3.1: PY. Quote: &quot; The distribution of participants lost to follow-up was similar between the study groups (15.53% vs. 14.06%)&quot;</p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p>,Low risk,<p>4.1: N. Note: The selected outcome method (MINI) is widely validated and established.</p><p>4.2: PN. Note: No evidence to suggest differences in measurement between intervention and control. </p><p>4.3: N. Quote: &quot;Both assessors evaluating outcomes and the statistician performing analyses were masked to participant allocation status. Outcome assessors were not involved in any activities that might reveal random allocation of study participants.&quot;</p><p>4.4: NA.</p><p>4.5: NA. </p>,Low risk,"<p>5.1: PY. Note: no evidence to suggest otherwise, methods and results do not show discrepancies. </p><p>5.2: PN. Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods are reported.</p><p>5.3: PN. Note: No evidence to suggest analyses selection. All analyses mentioned in the methods were reported. </p>",Low risk,<p>The study is judged to be at low risk of bias for all domains.</p>
3,1,Diagnosis of mental disorders at 0-1 months,,SUBGROUP_AND_OVERALL,Rajeswari 2020,2020,0.0,0.0,0.0,0.0,4,120,0.0,0.0,32,119,0.0,0.0,35.419555,0.123958,0.045237,0.339669,State-Trait Anxiety Inventory (STAI) as proxy,Some concerns,"<p>1.1: PY; 1.2: NI. Quote: &quot;The women were assigned using a lottery method to intervention and control groups, 125 in each group&quot;</p><p>1.3: PN. Quote: &quot;Majority were in the age group of 25–29 years (intervention group 60 [48%]; control group 57 [45.60%]).It was seen that 37 (29.60%) in the intervention group and 35 (28.0%) in the control group had high school education, 63 (50.40%) of the intervention group and 59 (47.20%) of the control group were residing in suburban area, 72 (57.60%) in the intervention group and 68 (54.40%) in the control group belonged to nuclear families.; &quot;No formal testing is reported</p>",Low risk,"<p>2.1: PY. 2.2: Y.  Note: Due to the nature of the intervention participants were most likely aware of the intervention. Research team members were aware of the intervention during its delivery.</p><p>2.3: PN. Note: No evidence of deviations</p><p>2.4: NA.</p><p>2.5: NA.</p><p>2.6: PY. No mention of approach to estimate effect of assignment to intervention. Out of the 250 participants randomized, 239 were analyzed.</p><p>2.7: NA.</p>",Low risk,"<p>3.1: Y. Note: 125 randomized to intervention, 120 analysed at follow-up. 125 allocated to control, 119 analysed (about 4% were lost)</p><p>3.2: NA.</p><p>3.3: NA.</p><p>3.4: NA.</p>",Some concerns,"<p>4.1: N. Quote: &quot;It is a standardized tool and the original tool had established validity, the “r” obtained was 0.83.&quot;</p><p>4.2: PN. Note: no evidence to suggest differences in measurement between intervention and control.</p><p>4.3: PY. Note: Outcome assessors (mothers) were most likely aware of intervention allocation.</p><p>4.4: PY. Note: Knowledge of the assigned intervention could influence participant-reported outcomes, but there is no reason to believe that it did</p><p>4.5: PN.</p>",Low risk,"<p>5.1: PY.  Note: no evidence to suggest otherwise, methods and results do not show discrepancies.</p><p>5.2: PN.  Note: No evidence to suggest outcome selection. All outcomes mentioned in the methods were reported. </p><p>5.3: PN. Note: no evidence to suggest analyses selection. All outcomes mentioned in the methods and results were reported. </p>",Some concerns,"<p>The study is judged to raise some concerns in two domains (1 and 4), but not to be at high risk of bias for any domain.</p>"
